label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
5	868 N	0.4015	Biotechnology	Data Science, Biotechnology	669	1.1625	417	0.8368	fABRICE	0.5706	0.716	218	0.753
2	509 N	0.9705	Computer Engineering	Bioinformatics	268	0.6547	186	0.3793	Michael	0.5458	0.3803	772	0.3214
3	14 N	0.0108	Computer Game Design	Data Science, Applied Mathematics	591	0.1779	1010	-0.023	Sam	0.8006	0.6438	409	0.5528
0	891 N	0.4478	Electrical Engineering	Computer Science, Computer Game Design	42	0.9129	592	0.5182	Chris	0.5296	0.6007	51	0.2694
0	1019 N	0.1922	Electrical Engineering	Computer Game Design	128	0.6967	601	0.5191	Reilly	0.6317	1.1044	163	0.2808
5	814 N	0.6082	Biotechnology	Applied Mathematics, Biotechnology	928	0.9052	528	0.8907	Fabrice	0.5602	0.6636	508	0.7714
2	515 N	0.7754	Computer Engineering	Computer Engineering	486	0.614	408	0.5031	Michael	0.3028	0.4253	776	0.5137
5	1073 N	0.4744	Biotechnology	Data Science, Applied Mathematics	564	0.6358	605	0.8041	Andrew	0.3614	0.8936	231	0.7043
0	879 N	0.1979	Electrical Engineering	Computer Science	86	0.722	593	0.5095	Chris	0.4685	0.8619	126	0.006
4	313 N	0.9377	Computer Game Design	Statistics	976	0.1803	549	0.0857	Vani	-0.0013	0.2435	631	0.2543
2	543 N	0.7445	Computer Engineering	Bioinformatics	130	0.9603	124	0.5155	Michael	0.6775	0.3476	727	0.3243
2	766 N	0.8722	Statistics	Computer Game Design	437	0.7975	187	0.3973	Michael	0.3574	0.4495	862	0.3062
3	2 N	-0.081	bioengineering	Computational Media, Bioengineering	411	-0.1795	833	0.0514	Sam	0.7414	0.6206	382	0.5258
2	414 N	0.9821	Statistics	Electrical Engineering	218	0.8114	594	0.6188	Michael	0.3359	0.4879	908	0.3217
1	935 N	0.7357	Games and Playable Media	Robotics Engineering	633	0.4131	167	0.5199	Inan	0.7778	0.1465	642	0.8658
0	962 N	0.1398	Data Science	Computer Science, Human Computer Interaction	-115	0.3098	833	0.5579	Reilly	0.626	1.0938	-195	0.2803
0	693 N	0.0721	Electrical Engineering	Computer Game Design	227	0.8258	697	0.492	Chris	0.3431	0.6289	-7	0.259
1	680 N	0.641	Computational Media		363	0.7058	63	0.5974	Eriq	0.894	0.3038	790	1.0063
5	748 N	0.5301	Biotechnology	Applied Mathematics	807	0.8519	604	0.9441	Andrew	0.2363	0.5052	339	0.5583
5	876 N	0.522	Biotechnology	Applied Mathematics	643	0.7362	707	0.9532	Fabrice	0.6133	0.5138	203	0.386
3	133 N	0.0728	Computer Game Design	Computational Media	288	0.0605	951	0.0338	Sam	0.9047		451	0.3249
4	319 N	1.1088	Bioinformatics	Statistics	971	0.1863	389	0.4074	Tony	0.1075	-0.0578	820	0.0249
1	747 N	0.6729	Computational Media	Robotics Engineering, Electrical Engineering	476	0.8311	-8	0.5575	Inan	0.7369	0.1875	803	1.1001
2	487 N	1.0055	Statistics	Bioinformatics	513	0.757	248	0.5094	Reilly	0.3872	0.549	878	0.4423
5	922 N	0.4321	technology and information management	Applied Mathematics, Data Science	889	0.8534	760	0.8781	Andrew	0.6881	0.842	274	0.7352
0	676 N	0.1515	Data Science	Statistics	-71	0.565	844	0.466	Inan	0.522	1.0838	-4	0.2521
0	1098 N	0.408	Data Science	Computer Game Design, Human Computer Interaction	123	0.456	1004	0.4196	Chris	0.2539	0.7864	118	0.2118
5	851 N	0.2949	Robotics Engineering	Computer Engineering	641	0.7298	556	0.6597	Andrew	0.537	0.5523	355	0.546
0	843 N	0.1056	data science	Human Computer Interaction, Computer Science	225	0.5969	658	0.5084	Chris	0.3946	0.9249	28	0.4648
1	598 N	0.6796	Games and Playable Media	Games and Playable Media	558	0.534	44	0.6133	Inan	0.5551	0.1878	654	1.2063
2	442 N	0.7758	Computer Engineering	NULL	156	0.4946	257	0.5654	Michael	0.5566	0.2308	1091	0.5053
0	740 N	0.3679	Electrical Engineering	Human Computer Interaction, Computer Science	-32	0.6553	681	0.6028	Reilly	0.4034	0.968	79	0.2027
0	831 N	0.3753	Data Science	Computer Science, Computer Game Design	27	0.4829	859	0.4308	Reilly	0.6974	1.2615	136	0.1317
0	1129 N	0.222	Electrical Engineering	Electrical Engineering, Robotics Engineering	?	0.3368	417	0.6412	Sam	0.7617	0.6932	-125	0.2222
5	1057 N	0.3324	Technology and Information Management	Biotechnology	771	0.9093	656	1.0422	Andrew	0.3831	0.331	339	0.8002
2	672 N	0.7642	Statistics	Computer Engineering	257	0.8411	454	0.3949	Michael	0.3348	0.3308	896	0.2985
5	1058 N	0.4085	Biotechnology	Data Science	636	0.8544	926	0.8143	Fabrice	0.3643	0.6742	246	0.6718
4	283 N	0.9754	Applied Mathematics	Statistics	1076	0.0525	524	0.1202	Tony	0.0774	0.0773	321	-0.0478
1	495 N	0.5937	Games and Playable Media	Bioinformatics	327	0.3245	-99	0.7406	Eriq	0.7864	0.1828	649	1.1124
1	367 N	0.5934	Computational Media	Electrical Engineering, Natural Language Processing	450	0.7073	-72	0.6991	Eriq	0.9188	0.2543	862	1.0829
1	454 N	0.6213	Games and Playable Media	Robotics Engineering, Natural Language Processing	613	0.4716	-17	0.7229	Inan	0.6358	0.1495	1009	0.8276
3	-228 N	-0.0546	Bioengineering	Bioengineering, Games and Playable Media	729	0.0683	1301	0.0142	Sam	0.8802	0.7363	550	0.6188
3	135 N	-0.1291	Bioengineering	Bioengineering, Games and Playable Media	223	0.0682	930	0.1435	Sam	n/a	0.652	356	0.5638
1	873 N	0.6037	Computational Media	Natural Language Processing, Electrical Engineering	464	0.4765	-18	0.798	Eriq	0.7123	0.4909	686	1.0282
5	896 N	0.4784	Robotics Engineering	Applied Mathematics, Data Science	973	0.6318	451	0.7654	ANDREW	0.5825	0.7432	156	0.5055
5	1082 N	0.538	Robotics Engineering	Data Science	496	0.6973	689	0.93	Andrew	0.4503	1.0207	None	0.6653
1	664 N	0.6537	Games and Playable Media	Natural Language Processing	598	0.5268	452	0.7608	Eriq	0.9994	0.4389	656	1.0606
1	560 N	0.4642	Computer Science		659	0.6596	-2	0.5984	Inan	0.8749	0.2804	700	1.0345
2	308 N	0.4289	Statistics	Computer Engineering	258	0.7515	591	0.3204	Michael	0.3577	0.5228	999	0.2737
0	585 N	0.1753	Data Science	Technology and Information Management	118	0.7574	820	0.5102	Reilly	0.658	0.6838	-94	0.3754
5	685 N	0.6048	Technology and Information Management	Data Science, Biotechnology	856	0.9498	668	0.9466	Fabrice	0.4436	0.6497	272	0.6076
3	50 N	-0.0097	Bioengineering	Games and Playable Media, Bioengineering	553	0.5653	1246	0.0237	Sam	0.5466	0.5413	155	0.5996
3	52 N	0.1283	Bioengineering	Computational Media	576	-0.0403	1032	0.2203	Sam	0.8008	0.6302	246	0.2042
2	676 N	0.6859	Statistics	Computer Engineering		0.8454	530	0.4912	Michael	0.3562	0.6795	780	0.6214
4	98 N	1.0072	Bioinformatics	Technology and Information Management	983	0.0796	506	0.0709	Vani	-0.0772	0.2444	670	-0.0045
3	25 N	-0.32	Bioengineering	Games and Playable Media	315	0.3199	1074	0.2243	SAM	0.9609	0.6916	185	0.594
2	328 N	0.842	Computer Engineering	Bioinformatics	234	0.8339	397	?	Michael	0.4476	0.3308	909	0.5623
3	17 N	0.0613	Bioengineering	Bioengineering	310	0.193	886	0.2192	Inan	0.9596	0.8028	228	0.506
5	937 N	0.5232	Technology and Information Management	Biotechnology	792	0.9793	533	1.1419	Andrew	0.5619	0.6348	405	0.4092
2	474 N	0.7827	Computer Engineering	Bioinformatics	252	0.6541	397	0.3658	Michael	0.1228	0.3762	777	0.4076
5	523 N	0.5311	Biotechnology	Data Science, Applied Mathematics	865	0.9122	507	1.0235	Andrew	0.2337	0.8327	375	0.8937
1	770 N	0.5698	Computational Media	Robotics Engineering	187	0.6165	281	0.8038	Inan	0.7582	0.3697	831	0.925
3	-91 N	-0.0414	Bioengineering	Computational Media, Games and Playable Media	601	0.0885	693	-0.2621	SAM	0.6461	0.7608	371	0.5647
3	-28 N	-0.0989	Computer Game Design	Games and Playable Media, Bioengineering	427	0.4316	1161	-0.0445	Sam	1.1172	0.908	669	0.4496
5	933 N	0.6717	Human Computer Interaction	Biotechnology, Applied Mathematics	743	0.977	544	1.0537	Andrew	0.6186	0.5942	-39	0.851
3	-127 N	0.2534	Bioengineering	Computational Media, Bioengineering	723	-0.0511	933	0.0586	Sam	0.7899	0.631	515	0.6934
4	-2 N	1.0362	Applied Mathematics	Statistics	714	0.4316	409	0.4364	Vani	0.0031	-0.0135	610	0.1616
2	357 N	0.7422	Statistics	Computer Engineering	291	0.8379	244	0.3724	Michael	0.4454	0.3682	950	0.427
5	742 N	0.5306	Biotechnology	Applied Mathematics, Data Science	638	0.7057	797	0.8238	Andrew	0.648	0.72	316	0.6949
5	934 N	0.225	Computer Engineering	Data Science	714	0.7898	797	0.9458	Fabrice	0.4258	0.9231	267	0.8814
1	?	0.609	Games and Playable Media	Robotics Engineering, Natural Language Processing	668	0.765	-26	0.8717	Inan	0.4566	0.1218	840	0.8908
4	566 N	0.872	Applied Mathematics	Statistics	938	0.218	411	0.1936	Vani	-0.1069	0.3773	865	0.1924
3	-28 N	0.0712	Computer Game Design	Bioengineering, Games and Playable Media	377	0.3263	939	0.0538	Sam	0.9277	0.9004	425	0.4896
3	-185 N	0.0067	Computer Game Design	Computational Media	628	0.011	1035	-0.0043	SAM	0.8732	0.5423	339	0.2278
3	-60 N	-0.0874	Bioengineering	Computer Engineering	544	0.0538	924	0.2451	Sam	0.688	0.8523	421	0.4804
1	511 N	0.5865	Computational Media	Robotics Engineering, Natural Language Processing	572	0.2853	54	0.5337	Inan	0.7289	0.3897	817	?
0	1098 N	0.2002	Data Science	Bioinformatics	306	0.7836	807	0.4753	Reilly	0.5967	0.6394	-76	0.0717
0	966 N	0.4544	Computer Game Design	Computer Game Design	105	0.5891	648	0.5766	Chris	0.6912	0.9805	-63	0.1538
2	350 N	0.865	Computer Engineering	Bioinformatics	385	0.7127	263	0.4765	Michael	0.2522	0.5468	586	0.5197
4	357 N	0.9541	Natural Language Processing	tECHNOLOGY AND iNFORMATION mANAGEMENT	931	0.4368	532	0.3639	Lise	-0.0715	-0.139	735	0.0389
0	762 N	0.3219	Data Science	Human Computer Interaction, Computer Science	347	0.84	807	0.5788	Reilly	0.2076	0.9298	15	0.3576
0	779 N	0.1669	Data Science	Human Computer Interaction, Computer Science	206	0.4273	611	0.5246	Reilly	0.4505	0.8507	265	0.0204
5	904 N	0.5671	Computer Engineering	Data Science, Applied Mathematics		0.5272	476	0.8655	Fabrice	0.4676	0.632	393	0.6436
2	495 N	0.3443	Statistics	Computer Engineering	225	0.6882	186	0.5384	Michael	0.5033	0.3815	872	0.4585
1	656 N	0.8118	Games and Playable Media	Robotics Engineering	359	0.581	238	0.6798	Eriq	0.5503	0.1063	848	1.069
1	449 N	0.5438	Computational Media	Natural Language Processing	797	0.4804	213	0.6756	Eriq	0.6328	0.0338	632	0.904
3	NULL	-0.014	Computer Game Design	Computational Media	614	-0.0841	1158	0.1885	Sam	0.7065	0.5943	597	n/a
0	977 N	0.1416	Electrical Engineering	Computer Game Design, Human Computer Interaction	182	0.8363	655	0.6057	Reilly	0.7908	1.0269	110	0.3343
2	301 N	0.6162	Statistics	Bioinformatics	350	0.8969	272	0.452	Michael	0.2281	0.5205	641	0.3454
0	746 N	0.1943	Electrical Engineering	Human Computer Interaction, Computer Science	-24	0.7353	824	0.752	Reilly	0.5292	0.7922	-19	0.2466
1	564 N	0.6603	Computer Science	Natural Language Processing, Robotics Engineering	771	0.3797	-215	0.6374	eriq	0.867	0.4349	759	1.0636
4	206 N	1.0387	Statistics	Technology and Information Management	967	0.3261	466	0.2945	Tony	0.0378	0.0332	627	0.0485
1	712 N	0.8548	Games and Playable Media	Computer Game Design, Computer Science	506	0.2848	77	0.4839	Inan	0.5294	0.0182	667	1.0373
0	999 N	0.1587	Data Science	Computer Science	-59	0.4149	778	0.5447	Eriq	0.5341	1.0245	129	0.1685
4	56 N	1.0399	Applied Mathematics	Technology and Information Management	723	0.3184	629	0.0276	Vani	-0.0819	0.1488	548	0.0656
2	259 N	0.8559	Computer Engineering	Bioinformatics	341	0.7054	366	0.3083	Michael	0.2907	0.8655	1148	0.3732
5	941 N	0.3841	Human Computer Interaction	Data Science, Biotechnology	583	0.7767	562	0.8937	Fabrice	0.4644	0.7279	500	0.8529
4	96 N	0.8604	Applied Mathematics	Technology and Information Management	844	0.3043	598	0.4165	Lise	0.0198	0.1206	557	0.1674
2	531 N	0.7091	Computer Engineering	Computer Engineering	211	0.7669	320	0.4371	Michael	0.4714	0.4611	800	0.2701
2	731 N	0.6533	Statistics	Bioinformatics	NULL	0.7614	197	0.4437	Michael	0.1464	0.5418	1070	0.3807
5	833 N	0.5054	Robotics Engineering	Biotechnology	774	0.696	n/a	1.0187	Andrew	0.5946	0.4768	245	N/A
4	91 N	0.843	Natural Language Processing	Statistics	1038	0.2909	250	-0.0387	Vani	-0.0404	-0.0224	488	0.1981
4	-80 N	1.1055	Natural Language Processing	Statistics	875	0.5546	373	0.2385	Lise	0.0877	0.0563	867	0.0838
0	966 N	0.0806	Electrical Engineering	Human Computer Interaction, Computer Science	81	0.4873	503	0.4339	Chris	0.6644	0.8329	66	0.1707
2	n/a	0.8624	Computer Engineering	Bioinformatics	258	0.6162	476	0.4246	Michael	0.4091	0.6696	891	0.3936
1	639 N	0.7343	Computational Media	Robotics Engineering, Natural Language Processing	335	0.5146	110	0.9016	Inan	0.6943	0.166	723	1.1066
0	889 N	0.3044	Electrical Engineering	Computer Game Design	287	None	549	0.6388	Chris	0.4474	0.6553	22	0.2141
3	-58 N	-0.0124	Bioengineering	Bioengineering, Computational Media	471	-0.1407	832	0.0835	Sam	0.8016	0.5653	312	0.5148
1	568 N	0.3462	Computer Science	Natural Language Processing, Electrical Engineering	None	0.1516	-78	0.5624	Andrew	0.3235	0.2446	722	0.9839
1	677 N	0.6981	Computer Science	Computer Game Design	596	0.7801	151	0.8338	Eriq	0.5447	0.5642	774	0.9565
4	-90 N	0.9887	Applied Mathematics	Electrical Engineering, Robotics Engineering	865	0.0317	340	0.3386	Vani	-0.02	0.1771	739	-0.0066
3	213 N	0.1513	Bioengineering	gAMES AND pLAYABLE mEDIA	393	0.1808	1079	0.0477	Sam	0.9644	0.8707	378	0.521
3	239 N	0.1341	Computer Game Design	Games And Playable Media	548	-0.0377	886	0.0168	Sam	0.7524	0.6686	380	0.5684
1	768 N	0.4994	Games and Playable Media	Robotics Engineering	531	0.6184	-33	0.5469	Eriq	0.739	0.2377	727	0.8736
3	-291 N	0.1094	Bioengineering	Bioengineering, Computational Media	184	0.4052	913	0.1743	Sam	1.0461	0.7516	365	0.3084
2	521 N	0.6523	Statistics	bioinformatics	355	0.8274	305	0.5219	Michael	0.0435	0.4091	1007	0.3054
2	677 N	0.9961	Computer Engineering	Computer Engineering	385	0.4737	340	0.5753	Michael	0.3715	0.2142	840	0.4178
4	431 N	1.0577	Data Science	Technology and Information Management	850	0.0865	466	0.2437	Tony	0.1279	0.1011	539	0.0841
4	290 N	1.28	Data Science	Technology and Information Management	1038	0.4311	502	0.336	Tony	0.1844	0.3499	517	0.1999
4	288 N	1.0024	Applied Mathematics	Biotechnology, Applied Mathematics	847	0.4514	472	0.3979	Tony	0.0475	0.2429	608	0.18
5	771 N	0.2987	Human Computer Interaction	Biotechnology	770	1.028	769	0.8762	Andrew	0.6235	0.4837	178	0.5987
3	-4 N	0.1037	Bioengineering	Games and Playable Media, Bioengineering	399	-0.1198	885	0.0306	Sam	0.8144	0.5501	473	0.4085
5	640 N	0.4895	Human Computer Interaction	Data Science	645	0.6045	475	0.9064	Andrew	0.526	0.7464	340	0.9181
0	779 N	0.1961	Data Science	Bioengineering	206	0.7574	696	0.6428	Chris	0.5801	0.7839	19	0.08
3	440 N	-0.2774	Bioengineering	Computational Media, Games and Playable Media	101	0.5484	954	-0.1173	Sam	1.0297	0.5873	348	0.7671
4	244 N	0.8442	bioinformatics	Statistics	880	0.1664	NULL	0.2058	Eriq	-0.1828	-0.0845	683	-0.0663
4	-26 N	0.956	Computer Science	Statistics	961	0.34	556	0.138	Tony	0.0164	0.1842	669	-0.0629
5	965 N	0.3465	Biotechnology	Biotechnology, Applied Mathematics	770	0.6861	634	0.901	Fabrice	?	0.7507	182	0.7423
4	407 N	0.8303	Natural Language Processing	Statistics	1200	0.1473	550	0.4553	Lise	-0.1434	0.0417	821	0.1797
4	192 N	0.9637	Bioinformatics	Electrical Engineering	987	0.3476	404	0.3384	Vani	-0.0141	-0.1327	620	0.0914
0	1021 N	0.29	Electrical Engineering	Computer Game Design	-95	0.752	1028	0.8152	Chris	0.6202	1.1038	190	0.1256
1	719 N	0.454	Computer Science	Natural Language Processing, Electrical Engineering	720	0.584	89	0.7017	Inan	0.8203	0.2577	510	0.9544
3	175 N	-0.027	Computer Game Design	Games and Playable Media, Bioengineering	587	0.1042	822	0.2037	Sam	0.828	1.1074	399	0.5216
2	527 N	0.9018	Computer Engineering	Computer Engineering	28	0.9142	276	0.3166	Michael	0.2447	0.2763	879	0.5196
1	882 N	0.5707	Computer Science	Bioengineering	401	0.7088	91	0.7125	Inan	1.1021	0.3333	927	1.0938
1	794 N	0.4744	Computational Media	Electrical Engineering, Natural Language Processing	533	0.3477	91	0.7337	INAN	0.3419	0.3574	736	1.1433
0	875 N	0.2507	Data Science	Computer Science	249	0.553	688	0.6921	Vani	0.6639	1.0659	-4	0.0421
0	861 N	0.1839	Data Science	Human Computer Interaction, Computer Science	-80	0.245	719	0.4239	Reilly	0.3195	1.1762	205	0.1392
1	712 N	0.7429	Computational Media	Natural Language Processing, Robotics Engineering	576	0.4668	-74	0.6366	?	0.8243	0.2004	699	0.7781
5	837 N	0.5985	Technology and Information Management	APPLIED MATHEMATICS	856	0.9384	652	0.9411	Andrew	0.5674	0.4105	477	0.5675
3	149 N	-0.0099	Bioengineering	Games and Playable Media	373	N/A	1044	0.1056	Sam	0.7247	0.8788	665	0.5232
2	279 N	0.8126	Computer Engineering	Bioinformatics	155	0.9212	286	0.5	Michael	0.417	0.3821	902	0.4994
0	907 N	0.2347	Electrical Engineering	Human Computer Interaction, Computer Game Design	180	0.7299	748	0.3853	Lise	0.6878	0.9813	20	-0.0628
1	627 N	0.4491	Computer Science	electrical engineering, natural language processing	529	0.6184	205	0.837	Inan	0.7807	-0.0054	664	0.9864
2	334 N	0.8564	Computer Engineering	Bioinformatics	300	0.5333	173	0.5517	Michael	0.4279	0.3303	875	0.2906
5	972 N	0.4055	Human Computer Interaction	Data Science	712	0.6761	943	0.7927	Fabrice	0.3058	0.7402	550	0.5991
2	460 N	0.8777	Statistics	Bioinformatics	516	0.8294	360	0.5237	Michael	0.6924	0.1571	961	0.5559
1	808 N	0.6876	Computer Science	Robotics Engineering	None	0.2289	226	0.7322	Inan	0.5915	0.2334	717	0.7286
0	805 N	0.0025	Electrical Engineering	Computer Science, Human Computer Interaction	133	0.6251	497	0.5511	Chris	0.4663	0.7818	-57	0.198
5	875 N	0.5097	Robotics Engineering	Data Science	641	0.8523	472	1.2797	Andrew	0.425	0.6681	295	0.6462
2	473 N	0.4007	Computer Engineering	Bioinformatics	437	0.489	280	0.3038	Michael	0.4574	0.3714	NULL	0.1035
5	578 N	0.5231	Robotics Engineering	Data Science	735	1.1079	796	0.9266	Andrew	0.5018	0.944	415	0.8661
1	493 N	0.5826	Computer Science	Computer Game Design	691	0.2335	207	0.8121	Eriq	0.9013	0.2128	718	1.0986
5	897 N	0.4771	Applied Mathematics	Data Science	773	0.7811	1092	1.0691	Fabrice	0.2145	0.5036	75	0.6953
2	193 N	0.593	Computer Engineering	Computer Engineering	337	1.0319	425	0.4285	Michael	0.1334	0.3204	867	0.1845
2	360 N	0.6881	sTATISTICS	Bioinformatics	311	0.8254	547	0.3062	Michael	0.2772	0.3549	1022	0.4313
2	477 N	0.4174	Computer Engineering	Bioinformatics	395	0.7255	329	0.6492	Michael	0.5144	0.3359	762	0.324
0	778 N	0.2024	Electrical Engineering	Computer Science	292	0.393	763	0.3514	Chris	0.7353	1.0252	47	0.279
0	721 N	0.1931	Data Science	Computer Science, Human Computer Interaction	-28	0.677	669	0.4815	Chris	0.4851	0.8744	-65	0.2718
2	243 N	0.7578	Computer Engineering	Computer Engineering	446	0.9379	82	0.3087	Michael	0.5084	0.5444	1074	0.3348
0	749 N	0.3359	Data Science	Human Computer Interaction	143	0.29	758	0.5989	Chris	0.7032	0.8932	47	0.0603
1	766 N	0.6503	Computational Media	natural language processing, robotics engineering	585	0.2988	490	0.7841	Inan	0.5728	0.2524	512	0.9712
3	210 N	0.0555	Computer Game Design	Computer Engineering	407	-0.0037	778	-0.1399	Sam	1.1633	0.7259	645	0.3021
4	122 N	0.8414	Natural Language Processing	Statistics	1002	0.3796	332	0.1991	Sam	0.0964	0.1895	524	0.0537
1	939 N	0.6089	Games and Playable Media	Natural Language Processing	491	0.365	338	0.6054	NULL	0.6692	-0.0581	758	0.9174
3	-128 N	-0.0971	Computer Game Design	Games and Playable Media	597	0.021	877	-0.3174	Sam	0.8171	0.6928	309	0.4999
2	325 N	0.6952	Computer Engineering	Bioinformatics	304	0.9051	161	0.5157	Michael	0.7037	0.4232	879	0.54
4	85 N	1.0955	Applied Mathematics	Statistics	916	0.0786	418	0.1399	Fabrice	0.0981	0.3145	635	-0.1326
3	-206 N	-0.0179	Computer Game Design	Computational Media, Bioengineering	333	-0.305	1110	-0.0003	Michael	0.8556	0.6389	317	0.5447
3	67 N	0.0849	Bioengineering	Bioengineering	504	0.5744	998	-0.0023	Sam	0.758	0.7221	304	0.6388
3	166 N	0.01	Computer Game Design	Games and Playable Media, Bioengineering	205	0.22	881	0.1111	Sam	0.8065	0.5473	359	0.1322
2	192 N	0.8056	Games and Playable Media	Computer Engineering	196	0.4447	463	0.5458	Michael	0.2415	0.3908	841	0.3247
3	107 N	0.0061	Computer Game Design	Games and Playable Media	325	0.0722	1075	-0.0062	Eriq	0.7549	0.53	505	0.2971
3	181 N	0.0111	Bioengineering	Bioengineering, Games and Playable Media	483	0.1921	1224	0.0377	Sam	0.8922	0.5056	348	0.5231
4	229 N	0.8297	Applied Mathematics	Technology and Information Management	866	0.3033	312	0.0981	Vani	0.07	-0.1072	602	0.1213
5	969 N		Technology and Information Management	Statistics	726	n/a	598	1.0626	Michael	0.4503	0.733	464	0.7055
1	807 N	0.4864	Computer Science	Electrical Engineering	663	0.7227	98	0.7689	Eriq	0.6922	-0.0472	683	0.9278
4	29 N	1.1589	Bioinformatics	NULL	897	0.3628	468	0.2348	Eriq	-0.0877	-0.0154	753	-0.0597
5	682 N	0.5714	Biotechnology	Biotechnology	1048	0.855	499	0.878	Fabrice	0.2734	0.6019	229	0.8795
4	?	0.9933	Natural Language Processing	Computational Media	1103	0.1549	430	0.39	Vani	0.1344	0.3845	587	-0.0387
2	487 N	0.8152	Computer Engineering	Computer Science, Computer Game Design	369	0.7718	376	0.6063	Sam	0.7567	0.4004	815	0.4631
4	310 N	0.9333	Bioinformatics	Statistics	941	0.2635	300	0.1598	Tony	0.077	0.0466	678	NULL
1	718 N	0.5953	Games and Playable Media	Robotics Engineering, Natural Language Processing	429	0.4667	3	0.6945	Inan	0.5469	0.1505	693	1.0517
1	688 N	0.7534	Electrical Engineering	Electrical Engineering, Natural Language Processing	419	0.3797	317	0.4751	Eriq	0.5838	-0.0023	798	0.8522
1	636 N	0.4983	Games and Playable Media	Robotics Engineering	576	0.4898	-59	0.7352	Chris	0.9096	0.1717	911	0.8582
2	439 N	0.9462	Statistics	Computer Engineering	123	0.649	464	0.4571	Michael	0.3595	0.4433	751	0.5632
4	285 N	1.1823	Applied Mathematics	Statistics	991	0.5572	396	0.1104	Tony	0.1405	-0.0053	644	0.3046
4	291 N	0.9109	Natural Language Processing	Statistics	814	n/a	292	0.2433	Tony	0.0142	0.1609	604	0.0107
1	728 N	0.4137	computer science	eLECTRICAL eNGINEERING	712	0.7132	48	0.5908	Inan	0.4785	-0.0583	769	1.0493
4	-14 N	0.952	Applied Mathematics	Statistics	829	0.3477		0.1803	Tony	0.0703	0.243	426	-0.0093
5	1101 N	0.3948	Technology and Information Management	Applied Mathematics, Biotechnology	667	1.0687	612	0.8372	Fabrice	0.4901	0.594	349	0.7746
2	333 N	0.8008	Statistics	Data Science, Biotechnology	467	0.8149	133	0.291	Michael	0.2997	0.651	1006	0.2368
